##########################################################################################################################################################################################################################
Database Name: EPFL_LISP_BXD_Liver_Polar_Metabolites_HFD_Jun14_Log2_**
GeneNetwork Accession Number: GN713
For more information regarding this data set please visit: http://www.genenetwork.org/webqtl/main.py?FormID=sharinginfo&GN_AccessionId=713

Z-Score.
In general, the array data that we enter in GeneNetwork have been log transformed and then z-score normalized, but instead of leaving the mean at 0 and the standard deviation of 1 unit,
the data is rescaled to a mean of 8 units with a standard deviation of 2 units (what we call 2Z + 8 normalized data).

Usage Conditions and Limitations:
Data sets that have been incorporated in the GeneNetwork belong to individuals, groups, and companies listed in the Status and Contacts page. 
Many data sets are still being generated and analyzed, and the data contributors have often agreed to remove protection and let other investigators view, share, and analyze data. 
We request that those of you analyzing these data and preparing publications do your best of acknowledge the original data sources. 
Please contact Robert W. Williams at rwilliams@uthsc.edu or by telephone at (901) 448-7050 if you have questions regarding the status of data and what group to acknowledge. 
If your work relies heavily on the GeneNetwork please consider acknowledging the grants that provide substantial support for this project (see bottom of all web pages). 
Please review the annotated References for relevant citations. For further details on use and citation of data in papers please read the section below on Academic, educational, and not-for-profit institutional use.

The Standard Disclaimers of Warranties.
The University of Tennessee (UT), its trustees, directors, officers, employees, and affiliates make no representation and extend no warranties of any kind,
either express or implied, including warranties of correctness, accuracy, fitness for a particular purpose, merchantability, validity of patent rights claims (issued or pending),
the absence of latent or other defects, whether or not discoverable. In no event shall UT or its trustees, directors, officers, employees, or affiliates be liable for incidental or consequential damages of any kind,
including economic damage or injury to property and lost profits, regardless of whether UT, its trustees, directors, officers, employees, and affiliates shall be advised, shall have other reason to know,
or in fact shall know of the possibility of the foregoing.

Disclaimer.
The data providers make no guarantees or warranties as to the accuracy or completeness of or results to be obtained from accessing and using information from The GeneNetwork.
We will not be liable to any user or anyone else for any inaccuracy, error or omission, regardless of cause, in the data contained in The GeneNetwork databases or any resulting damages.
In addition, the data providers do not warrant that the databases will meet your requirements, be uninterrupted, or error-free.
Data providers expressly exclude and disclaim all expressed and implied warranties of merchantability and fitness for a particular purpose.
Data providers shall not be responsible for any damage or loss of any kind arising out of or related to your use of the databases,including without limitation data loss or corruption, regardless of whether such liability is based in tort, contract, or otherwise.

##########################################################################################################################################################################################################################

ProbeSet	Gene Symbol	Chr	Mb	Gene Id	Strand Gene	Blat Mb Start	Blat Mb End	Description	Aliases	Blat Sequence	UniGeneId	OMIM	HomoloGeneID	C57BL/6J	DBA/2J	BXD68	BXD43	BXD44	BXD45	BXD48	BXD49	BXD50	BXD51	BXD55	BXD56	BXD61	BXD62	BXD63	BXD65	BXD66	BXD69	BXD70	BXD71	BXD73	BXD75	BXD79	BXD73a	BXD81	BXD83	BXD84	BXD85	BXD87	BXD89	BXD90	BXD48a	BXD98	BXD95	BXD99	BXD100	BXD101	BXD103	BXD97	
51.02407804_MZ	Methanol	Un	1.0	None	None	None	None	Methanol is the simplest alcohol, and is a light, volatile, colourless, flammable, poisonous liquid with a distinctive odor that is somewhat milder and sweeter than ethanol (Wikipedia). Methanol is responsible for accidental, suicidal, and epidemic poisonings, resulting in death or permanent sequelae. Toxicity is due to the metabolic products of alcohol dehydrogenase (ADH) and aldehyde dehydrogenase. (PMID 15627163). The rapid and accurate diagnosis of toxic alcohol poisoning due to methanol (methyl alcohol) is paramount in preventing serious adverse outcomes. The quantitative measurement of specific serum levels of methanol using gas chromatography is expensive, time consuming and generally only available at major tertiary-care facilities. (PMID 15862085).	CH4O		None	None	None	11.922	11.967	11.954	11.805	11.968	12.68	12.257	11.857	12.456	12.328	12.209	12.164	12.038	11.931	11.759	12.13	12.442	11.927	12.435	12.054	12.392	11.971	11.821	12.23	12.052	12.033	11.838	12.307	12.122	11.704	11.724	12.245	12.42	12.402	12.45	12.165	12.383	12.004	11.682	
52.02081441_MZ	Hydroxylamine	Un	1.0	None	None	None	None	Hydroxylamine is a reactive chemical with formula NH2OH. It can be considered a hybrid of ammonia and water due to parallels it shares with each. At room temperature pure NH2OH is ordinarily a white, unstable crystalline, hygroscopic compound; however it is almost always encountered as an aqueous solution. A colorless inorganic compound (HONH2) used in organic synthesis and as a reducing agent, due to its ability to donate nitric oxide. Hydroxylamine may explode on heating. It is an irritant to the respiratory tract, skin, eyes, and other mucous membranes. It may be absorbed through the skin, is harmful if swallowed, and is a possible mutagen. NH2OH is an intermediate in the biological nitrification. The oxidation of NH3 is mediated by HAO (hydroxylamine oxidoreductase).	H3NO		None	None	None	9.932	10.095	10.205	10.039	9.777	9.515	10.49	10.152	10.023	10.205	10.314	7.682	9.576	9.583	9.716	9.097	10.092	9.777	9.795	10.842	9.728	10.437	9.782	9.655	10.077	9.428	10.21	10.784	9.887	9.29	8.991	9.118	10.191	10.102	9.739	9.522	10.404	9.184	9.501	
53.00263058_MZ	2-Propyn-1-al	Un	1.0	None	None	None	None	2-Propyn-1-al is involved in the propanoate metabolism system. It is created from 2-Propyn-1-ol through the action of alcohol dehydrogenase [EC:1.1.99.8]. 2-Propyn-1-al is converted to propynoate by aldehyde dehydrogenase [EC:1.2.1.3].	C3H2O		None	None	None	9.629	8.99	9.072	9.543	9.746	9.839	10.175	10.144	9.773	9.544	9.581	8.7	9.887	9.751	9.919	10.794	9.391	9.091	9.403	10.008	9.683	9.654	9.883	9.904	9.895	9.068	9.844	9.295	10.173	9.452	9.64	9.316	9.809	9.184	9.873	10.079	9.833	10.406	9.528	
54.97564605_MZ	Hydrochloric acid	Un	1.0	None	None	None	None	Hydrochloric acid constitutes the majority of gastric acid, the human digestive fluid. In a complex process and at a large energetic burden, it is secreted by parietal cells (also known as oxyntic cells). These cells contain an extensive secretory network (called canaliculi) from which the HCl is secreted into the lumen of the stomach. They are part of the epithelial fundic glands (also known as oxyntic glands) in the stomach. The chemical compound hydrochloric acid is the aqueous (water-based) solution of hydrogen chloride gas (HCl). It is a strong acid, the major component of gastric acid and of wide industrial use. Hydrochloric acid must be handled with appropriate safety precautions because it is a highly corrosive liquid. Hydrochloric acid, or muriatic acid by its historical but still occasionally used name, has been an important and frequently used chemical from early history and was discovered by the alchemist Jabir ibn Hayyan around the year 800. Hydrogen chloride, also known under the name HCl, is a highly corrosive and toxic colorless gas that forms white fumes on contact with humidity. These fumes consist of hydrochloric acid which forms when hydrogen chloride dissolves in water. The hydrogen chloride molecule HCl is a simple diatomic molecule consisting of a hydrogen atom H and a chlorine atom Cl connected with a covalent single bond. Since the chlorine atom is much more electronegative than the hydrogen atom, the covalent bond between the atoms is quite polar. Hydrogen chloride forms corrosive hydrochloric acid on contact with body tissue. Inhalation of the fumes can cause coughing, choking, inflammation of the nose, throat, and upper respiratory tract, and in severe cases, pulmonary edema, circulatory system failure, and death. Skin contact can cause redness, pain, and severe skin burns. Hydrogen chloride may cause severe burns to the eye and permanent eye damage.	ClH		None	None	None	9.91	9.373	10.191	10.626	10.513	9.985	8.631	10.115	9.953	10.721	9.795	11.228	9.679	9.533	9.97	10.374	10.265	9.893	9.769	8.0	9.753	10.14	10.539	9.674	10.683	10.026	10.011	9.37	9.758	8.618	10.615	9.892	9.825	10.985	9.854	8.815	10.618	9.698	9.191	
57.03446253_MZ	Acetone	Un	1.0	None	None	None	None	Acetone is one of the ketone bodies produced during ketoacidosis. Acetone is not regarded as a waste product of metabolism. However, its physiological role in biochemical machinery is not clear. A model for the role of acetone metabolism is presented that orders the events occurring in acetonemia in sequence: in diabetic ketosis or starvation, ketone body production (b-hydroxy-butyrate, acetoacetate) provides fuel for vital organs (heart, brain .) raising the chance of survival of the metabolic catastrophe. However, when ketone body production exceeds the degrading capacity, the accumulating acetoacetic acid presents a new challenge to the pH regulatory system. Acetone production and its further degradation to C3 fragments fulfill two purposes: the maintenance of pH buffering capacity and provision of fuel for peripheral tissues. Since ketosis develops under serious metabolic circumstances, all the mechanisms that balance or moderate the effects of ketosis enhance the chance for survival. From this point of view, the theory that transportable C3 fragments can serve as additional nutrients is a novel view of acetone metabolism which introduces a new approach to the study of acetone degradation, especially in understanding its physiological function and the interrelationship between liver and peripheral tissues. (PMID 10580530). Acetone is typically derived from acetoacetate through the action of microbial acetoacetate decarboxylases found in gut microflora. In chemistry, acetone is the simplest representative of the ketones. Acetone is a colorless, mobile, flammable liquid readily soluble in water, ethanol, ether, etc., and itself serves as an important solvent. Acetone is an irritant and inhalation may lead to hepatotoxic effects (causing liver damage).	C3H6O, Propanal		None	None	None	14.859	15.165	15.282	15.121	15.205	15.669	15.128	14.773	15.185	15.348	15.529	15.31	15.404	15.49	14.92	14.779	14.966	14.881	14.953	15.001	15.281	14.803	15.018	15.148	15.116	15.0	14.83	14.963	15.804	14.972	15.168	14.732	15.071	15.079	15.211	14.98	14.96	15.148	14.744	
58.02967943_MZ	N-Methylformamide	Un	1.0	None	None	None	None	N-Methylformamide (NMF) is one of the two major urinary biomarkers of exposure to N,N-Dimethylformamide (DMF), a compound widely used in industries because of its extensive miscibility with water and solvents. Metabolism of NMF results in the formation of N-methylcarbamoyl adducts at the N-terminal valine and lysine in blood protein globin. (PMID: 17254560, 17254560, 16289959).	C2H5NO, Acetaldehyde oxime		None	None	None	11.972	11.598	11.538	11.466	11.537	11.765	11.37	11.731	11.638	11.729	11.343	11.144	11.759	11.235	11.871	11.242	11.565	11.422	12.037	11.013	11.469	11.235	11.705	11.46	11.411	11.993	11.55	11.699	11.38	11.51	11.897	11.758	11.191	11.228	11.779	11.952	11.596	10.996	11.385	
59.01373236_MZ	Acetic acid	Un	1.0	None	None	None	None	Acetic acid is one of the simplest carboxylic acids. It is an important chemical reagent and industrial chemical that is used in the production of plastic soft drink bottles, photographic film; and polyvinyl acetate for wood glue, as well as many synthetic fibres and fabrics. In households diluted acetic acid is often used as a cleaning agent. In the food industry acetic acid is used as an acidity regulator. The acetyl group, derived from acetic acid, is fundamental to the biochemistry of virtually all forms of life. When bound to coenzyme A it is central to the metabolism of carbohydrates and fats. However, the concentration of free acetic acid in cells is kept at a low level to avoid disrupting the control of the pH of the cell contents. Acetic acid is produced and excreted by certain bacteria, notably the Acetobacter genus and Clostridium acetobutylicum. These bacteria are found universally in foodstuffs, water, and soil, and acetic acid is produced naturally as fruits and some other foods spoil. Acetic acid is also a component of the vaginal lubrication of humans and other primates, where it appears to serve as a mild antibacterial agent.	C2H4O2, Glycolaldehyde		None	None	None	16.523	16.481	16.636	16.738	16.516	16.837	16.445	16.406	16.455	16.56	16.359	16.587	16.316	16.657	16.498	16.745	16.74	16.666	16.594	16.251	16.45	16.398	16.438	16.707	16.747	16.614	16.788	16.552	16.318	16.274	16.813	16.529	16.537	16.795	16.776	16.718	16.781	16.332	16.067	
59.05011986_MZ	Propyl alcohol	Un	1.0	None	None	None	None		C3H8O, Isopropyl alcohol		None	None	None	12.163	12.492	12.075	12.24	11.981	12.086	11.962	12.076	12.065	12.262	12.258	11.987	12.062	12.224	12.141	12.271	12.024	12.106	12.173	12.141	12.263	12.212	12.009	12.231	12.127	12.082	12.127	12.133	12.144	11.998	12.065	11.978	12.033	12.078	12.381	12.231	12.046	12.217	12.021	
64.01869394_MZ	Formamide	Un	1.0	None	None	None	None	Formamide is a metabolite used for biological monitoring of workers exposed to N-N-dimethylformamide (DMF).(PMID 7622279). There is a case of significant association between ever having been exposed to DMF and subsequent development of prostate cancer (PMID 2715850).	CH3NO		None	None	None	10.286	10.629	10.106	10.213	10.435	10.024	9.564	10.165	9.535	10.449	9.648	10.046	9.928	10.421	10.155	10.412	9.927	9.456	9.473	10.345	10.498	9.855	9.86	10.143	9.997	9.929	10.133	10.935	9.353	10.105	10.571	9.456	10.419	10.552	10.343	10.51	9.608	10.756	9.767	
65.03921071_MZ	Ethanol	Un	1.0	None	None	None	None	Ethanol is a clear, colorless liquid rapidly absorbed from the gastrointestinal tract and distributed throughout the body. It has bactericidal activity and is used often as a topical disinfectant. It is widely used as a solvent and preservative in pharmaceutical preparations as well as serving as the primary ingredient in alcoholic beverages. Indeed, ethanol has widespread use as a solvent of substances intended for human contact or consumption, including scents, flavorings, colorings, and medicines. Ethanol has a depressive effect on the central nervous system and because of its psychoactive effects, it is considered a drug. Ethanol has a complex mode of action and affects multiple systems in the brain, most notably it acts as an agonist to the GABA receptors. Death from ethanol consumption is possible when blood alcohol level reaches 0.4%. A blood level of 0.5% or more is commonly fatal. Levels of even less than 0.1% can cause intoxication, with unconsciousness often occurring at 0.3-0.4 %. Ethanol is metabolized by the body as an energy-providing carbohydrate nutrient, as it metabolizes into acetyl CoA, an intermediate common with glucose metabolism, that can be used for energy in the citric acid cycle or for biosynthesis. Ethanol within the human body is converted into acetaldehyde by alcohol dehydrogenase and then into acetic acid by acetaldehyde dehydrogenase. The product of the first step of this breakdown, acetaldehyde, is more toxic than ethanol. Acetaldehyde is linked to most of the clinical effects of alcohol. It has been shown to increase the risk of developing cirrhosis of the liver,[77] multiple forms of cancer, and alcoholism. Industrially, ethanol is produced both as a petrochemical, through the hydration of ethylene, and biologically, by fermenting sugars with yeast. Small amounts of ethanol are endogenously produced by gut microflora through anaerobic fermentation. However most ethanol detected in biofluids and tissues likely comes from consumption of alcoholic beverages. Absolute ethanol or anhydrous alcohol generally refers to purified ethanol, containing no more than one percent water. Absolute alcohol is not intended for human consumption. It often contains trace amounts of toxic benzene (used to remove water by azeotropic distillation). Consumption of this form of ethanol can be fatal over a short time period. Generally absolute or pure ethanol is used as a solvent for lab and industrial settings where water will disrupt a desired reaction. Pure ethanol is classed as 200 proof in the USA and Canada, equivalent to 175 degrees proof in the UK system.	C2H6O		None	None	None	9.764	10.085	10.35	10.098	10.338	10.313	10.071	10.386	10.194	9.963	10.697	10.02	10.093	10.405	10.228	10.3	9.683	10.227	10.312	10.028	10.298	10.083	10.147	10.304	9.954	10.303	9.728	9.935	9.965	9.854	9.468	9.482	9.927	10.307	9.61	9.531	10.306	10.385	9.842	
67.01885406_MZ	3-Butyn-1-al	Un	1.0	None	None	None	None	3-Butyn-1-al is an intermediate in Butanoate metabolism (KEGG ID C06145). It is the third to last step in the synthesis and degradation of ketone bodies and is converted from 3-Butyn-1-ol via the enzyme alcohol dehydrogenase (acceptor) [EC:1.1.99.8]. It is then converted to 3-Butynoate via the enzyme aldehyde dehydrogenase (NAD+) [EC:1.2.1.3].	C4H4O		None	None	None	12.335	12.004	12.554	12.281	12.459	12.639	12.389	12.341	12.443	12.512	12.483	12.417	12.766	12.517	11.784	12.306	12.512	12.395	12.261	12.544	12.581	12.276	12.297	12.497	12.244	12.461	12.334	12.411	12.485	12.257	12.217	12.449	12.485	12.673	12.529	12.406	12.667	12.464	12.497	
67.02953357_MZ	Imidazole	Un	1.0	None	None	None	None	Imidazole is a heterocyclic aromatic organic compound. It is further classified as an alkaloid. Imidazole refers to the parent compound C3H4N2, while imidazoles are a class of heterocycles with similar ring structure but varying substituents. This ring system is present in important biological building blocks such as histidine and histamine. Imidazole can act as a base and as a weak acid. Imidazole exists in two tautomeric forms with the hydrogen atom moving between the two nitrogens. Many drugs contain an imidazole ring, such as antifungal drugs and nitroimidazole. Imidazole is a 5 membered planar ring which is soluble in water and polar solvents. Imidazole is a base and an excellent nucleophile. It reacts at the NH nitrogen, attacking alkylating and acylating compounds. It is not particularly susceptible to electrophilic attacks at the carbon atoms, and most of these reactions are substitutions that keep the aromaticity intact. One can see from the resonance structure that the carbon-2 is the carbon most likely to have a nucleophile attack it, but in general nucleophilic substitutions are difficult with imidazole. Imidazole is incorporated into many important biological molecules. The most obvious is the amino acid histidine, which has an imidazole side chain. histidine is present in many proteins and enzymes and plays a vital part in the structure and binding functions of hemoglobin.	C3H4N2		None	None	None	12.018	11.395	11.989	12.112	11.856	12.106	11.801	11.854	11.719	11.865	12.033	11.871	12.021	11.903	11.711	11.7	11.92	11.848	11.827	11.942	12.125	11.891	11.818	11.935	11.65	11.794	11.718	11.955	12.009	11.604	11.959	12.011	11.963	12.241	12.168	12.136	12.149	11.898	12.069	
