##########################################################################################################################################################################################################################
Database Name: EPFL_LISP_BXD_Liver_Polar_Metabolites_CD_Jun14_Log2_**
GeneNetwork Accession Number: GN714
For more information regarding this data set please visit: http://www.genenetwork.org/webqtl/main.py?FormID=sharinginfo&GN_AccessionId=714

Z-Score.
In general, the array data that we enter in GeneNetwork have been log transformed and then z-score normalized, but instead of leaving the mean at 0 and the standard deviation of 1 unit,
the data is rescaled to a mean of 8 units with a standard deviation of 2 units (what we call 2Z + 8 normalized data).

Usage Conditions and Limitations:
Data sets that have been incorporated in the GeneNetwork belong to individuals, groups, and companies listed in the Status and Contacts page. 
Many data sets are still being generated and analyzed, and the data contributors have often agreed to remove protection and let other investigators view, share, and analyze data. 
We request that those of you analyzing these data and preparing publications do your best of acknowledge the original data sources. 
Please contact Robert W. Williams at rwilliams@uthsc.edu or by telephone at (901) 448-7050 if you have questions regarding the status of data and what group to acknowledge. 
If your work relies heavily on the GeneNetwork please consider acknowledging the grants that provide substantial support for this project (see bottom of all web pages). 
Please review the annotated References for relevant citations. For further details on use and citation of data in papers please read the section below on Academic, educational, and not-for-profit institutional use.

The Standard Disclaimers of Warranties.
The University of Tennessee (UT), its trustees, directors, officers, employees, and affiliates make no representation and extend no warranties of any kind,
either express or implied, including warranties of correctness, accuracy, fitness for a particular purpose, merchantability, validity of patent rights claims (issued or pending),
the absence of latent or other defects, whether or not discoverable. In no event shall UT or its trustees, directors, officers, employees, or affiliates be liable for incidental or consequential damages of any kind,
including economic damage or injury to property and lost profits, regardless of whether UT, its trustees, directors, officers, employees, and affiliates shall be advised, shall have other reason to know,
or in fact shall know of the possibility of the foregoing.

Disclaimer.
The data providers make no guarantees or warranties as to the accuracy or completeness of or results to be obtained from accessing and using information from The GeneNetwork.
We will not be liable to any user or anyone else for any inaccuracy, error or omission, regardless of cause, in the data contained in The GeneNetwork databases or any resulting damages.
In addition, the data providers do not warrant that the databases will meet your requirements, be uninterrupted, or error-free.
Data providers expressly exclude and disclaim all expressed and implied warranties of merchantability and fitness for a particular purpose.
Data providers shall not be responsible for any damage or loss of any kind arising out of or related to your use of the databases,including without limitation data loss or corruption, regardless of whether such liability is based in tort, contract, or otherwise.

##########################################################################################################################################################################################################################

ProbeSet	Gene Symbol	Chr	Mb	Gene Id	Strand Gene	Blat Mb Start	Blat Mb End	Description	Aliases	Blat Sequence	UniGeneId	OMIM	HomoloGeneID	C57BL/6J	DBA/2J	BXD68	BXD43	BXD44	BXD45	BXD48	BXD49	BXD50	BXD51	BXD55	BXD56	BXD60	BXD61	BXD62	BXD63	BXD64	BXD65	BXD66	BXD69	BXD70	BXD71	BXD73	BXD75	BXD79	BXD73a	BXD81	BXD83	BXD84	BXD85	BXD87	BXD89	BXD90	BXD65b	BXD48a	BXD98	BXD95	BXD99	BXD100	BXD101	BXD103	
51.02407804_MZ	Methanol	Un	1.0	None	None	None	None	Methanol is the simplest alcohol, and is a light, volatile, colourless, flammable, poisonous liquid with a distinctive odor that is somewhat milder and sweeter than ethanol (Wikipedia). Methanol is responsible for accidental, suicidal, and epidemic poisonings, resulting in death or permanent sequelae. Toxicity is due to the metabolic products of alcohol dehydrogenase (ADH) and aldehyde dehydrogenase. (PMID 15627163). The rapid and accurate diagnosis of toxic alcohol poisoning due to methanol (methyl alcohol) is paramount in preventing serious adverse outcomes. The quantitative measurement of specific serum levels of methanol using gas chromatography is expensive, time consuming and generally only available at major tertiary-care facilities. (PMID 15862085).	CH4O		None	None	None	12.12	12.238	12.273	11.714	12.211	12.529	12.405	11.979	12.841	12.523	12.322	12.279	12.081	12.118	12.303	12.512	11.744	12.266	12.122	12.373	12.095	12.774	12.356	12.257	12.27	12.538	12.229	12.041	12.125	12.505	12.414	11.636	12.252	11.962	12.43	12.116	11.593	12.033	12.408	12.364	12.144	
52.02081441_MZ	Hydroxylamine	Un	1.0	None	None	None	None	Hydroxylamine is a reactive chemical with formula NH2OH. It can be considered a hybrid of ammonia and water due to parallels it shares with each. At room temperature pure NH2OH is ordinarily a white, unstable crystalline, hygroscopic compound; however it is almost always encountered as an aqueous solution. A colorless inorganic compound (HONH2) used in organic synthesis and as a reducing agent, due to its ability to donate nitric oxide. Hydroxylamine may explode on heating. It is an irritant to the respiratory tract, skin, eyes, and other mucous membranes. It may be absorbed through the skin, is harmful if swallowed, and is a possible mutagen. NH2OH is an intermediate in the biological nitrification. The oxidation of NH3 is mediated by HAO (hydroxylamine oxidoreductase).	H3NO		None	None	None	9.983	9.663	9.74	9.852	9.295	10.101	9.506	10.093	9.883	10.066	10.1	9.851	10.38	9.297	9.662	10.158	9.459	8.435	9.528	10.102	9.656	9.924	9.891	9.674	9.913	10.085	8.696	9.029	10.397	9.482	9.113	8.759	9.307	10.129	9.727	9.849	9.831	10.474	10.312	9.332	9.422	
53.00263058_MZ	2-Propyn-1-al	Un	1.0	None	None	None	None	2-Propyn-1-al is involved in the propanoate metabolism system. It is created from 2-Propyn-1-ol through the action of alcohol dehydrogenase [EC:1.1.99.8]. 2-Propyn-1-al is converted to propynoate by aldehyde dehydrogenase [EC:1.2.1.3].	C3H2O		None	None	None	9.37	9.825	10.117	9.668	9.687	9.904	9.693	9.387	10.022	10.335	9.64	9.633	9.884	9.651	9.863	9.872	9.534	9.665	10.211	10.089	9.049	9.481	9.731	10.024	10.021	9.685	10.448	9.403	8.991	9.237	9.933	10.029	10.598	10.021	9.781	9.866	9.724	10.295	9.758	9.804	9.712	
54.97564605_MZ	Hydrochloric acid	Un	1.0	None	None	None	None	Hydrochloric acid constitutes the majority of gastric acid, the human digestive fluid. In a complex process and at a large energetic burden, it is secreted by parietal cells (also known as oxyntic cells). These cells contain an extensive secretory network (called canaliculi) from which the HCl is secreted into the lumen of the stomach. They are part of the epithelial fundic glands (also known as oxyntic glands) in the stomach. The chemical compound hydrochloric acid is the aqueous (water-based) solution of hydrogen chloride gas (HCl). It is a strong acid, the major component of gastric acid and of wide industrial use. Hydrochloric acid must be handled with appropriate safety precautions because it is a highly corrosive liquid. Hydrochloric acid, or muriatic acid by its historical but still occasionally used name, has been an important and frequently used chemical from early history and was discovered by the alchemist Jabir ibn Hayyan around the year 800. Hydrogen chloride, also known under the name HCl, is a highly corrosive and toxic colorless gas that forms white fumes on contact with humidity. These fumes consist of hydrochloric acid which forms when hydrogen chloride dissolves in water. The hydrogen chloride molecule HCl is a simple diatomic molecule consisting of a hydrogen atom H and a chlorine atom Cl connected with a covalent single bond. Since the chlorine atom is much more electronegative than the hydrogen atom, the covalent bond between the atoms is quite polar. Hydrogen chloride forms corrosive hydrochloric acid on contact with body tissue. Inhalation of the fumes can cause coughing, choking, inflammation of the nose, throat, and upper respiratory tract, and in severe cases, pulmonary edema, circulatory system failure, and death. Skin contact can cause redness, pain, and severe skin burns. Hydrogen chloride may cause severe burns to the eye and permanent eye damage.	ClH		None	None	None	9.767	9.413	10.11	10.532	10.045	9.699	9.666	10.128	10.113	10.026	9.853	9.375	9.773	10.513	9.556	10.41	10.328	7.904	9.11	9.696	10.327	10.24	10.275	9.815	9.867	10.039	9.054	9.825	9.62	8.93	9.685	9.795	10.605	10.374	9.504	9.759	10.142	9.447	9.207	9.615	10.673	
57.03446253_MZ	Acetone	Un	1.0	None	None	None	None	Acetone is one of the ketone bodies produced during ketoacidosis. Acetone is not regarded as a waste product of metabolism. However, its physiological role in biochemical machinery is not clear. A model for the role of acetone metabolism is presented that orders the events occurring in acetonemia in sequence: in diabetic ketosis or starvation, ketone body production (b-hydroxy-butyrate, acetoacetate) provides fuel for vital organs (heart, brain .) raising the chance of survival of the metabolic catastrophe. However, when ketone body production exceeds the degrading capacity, the accumulating acetoacetic acid presents a new challenge to the pH regulatory system. Acetone production and its further degradation to C3 fragments fulfill two purposes: the maintenance of pH buffering capacity and provision of fuel for peripheral tissues. Since ketosis develops under serious metabolic circumstances, all the mechanisms that balance or moderate the effects of ketosis enhance the chance for survival. From this point of view, the theory that transportable C3 fragments can serve as additional nutrients is a novel view of acetone metabolism which introduces a new approach to the study of acetone degradation, especially in understanding its physiological function and the interrelationship between liver and peripheral tissues. (PMID 10580530). Acetone is typically derived from acetoacetate through the action of microbial acetoacetate decarboxylases found in gut microflora. In chemistry, acetone is the simplest representative of the ketones. Acetone is a colorless, mobile, flammable liquid readily soluble in water, ethanol, ether, etc., and itself serves as an important solvent. Acetone is an irritant and inhalation may lead to hepatotoxic effects (causing liver damage).	C3H6O, Propanal		None	None	None	15.372	15.42	15.221	15.335	15.508	15.584	15.376	15.212	15.311	15.498	15.277	15.325	14.737	15.681	15.687	15.343	15.114	14.853	15.281	15.114	15.388	15.402	15.266	15.501	15.287	15.336	15.092	15.6	15.238	15.194	15.426	15.175	15.147	14.767	14.924	15.341	14.865	15.255	15.299	15.059	15.363	
58.02967943_MZ	N-Methylformamide	Un	1.0	None	None	None	None	N-Methylformamide (NMF) is one of the two major urinary biomarkers of exposure to N,N-Dimethylformamide (DMF), a compound widely used in industries because of its extensive miscibility with water and solvents. Metabolism of NMF results in the formation of N-methylcarbamoyl adducts at the N-terminal valine and lysine in blood protein globin. (PMID: 17254560, 17254560, 16289959).	C2H5NO, Acetaldehyde oxime		None	None	None	11.609	11.374	11.67	11.302	11.393	11.251	11.58	11.239	11.119	11.389	11.388	11.314	11.376	11.401	11.145	11.602	11.421	11.84	11.46	11.278	11.288	11.318	11.391	11.353	11.554	11.164	11.319	11.268	10.926	11.813	10.979	11.65	11.655	11.517	11.376	11.652	11.059	11.46	11.217	11.401	11.215	
59.01373236_MZ	Acetic acid	Un	1.0	None	None	None	None	Acetic acid is one of the simplest carboxylic acids. It is an important chemical reagent and industrial chemical that is used in the production of plastic soft drink bottles, photographic film; and polyvinyl acetate for wood glue, as well as many synthetic fibres and fabrics. In households diluted acetic acid is often used as a cleaning agent. In the food industry acetic acid is used as an acidity regulator. The acetyl group, derived from acetic acid, is fundamental to the biochemistry of virtually all forms of life. When bound to coenzyme A it is central to the metabolism of carbohydrates and fats. However, the concentration of free acetic acid in cells is kept at a low level to avoid disrupting the control of the pH of the cell contents. Acetic acid is produced and excreted by certain bacteria, notably the Acetobacter genus and Clostridium acetobutylicum. These bacteria are found universally in foodstuffs, water, and soil, and acetic acid is produced naturally as fruits and some other foods spoil. Acetic acid is also a component of the vaginal lubrication of humans and other primates, where it appears to serve as a mild antibacterial agent.	C2H4O2, Glycolaldehyde		None	None	None	16.18	16.436	16.46	16.444	16.482	16.54	16.592	16.267	16.341	16.494	16.161	16.312	16.729	15.982	16.616	16.712	16.323	16.861	16.526	16.609	16.147	16.568	16.502	16.628	16.673	16.607	16.208	16.559	16.228	16.642	16.082	16.395	16.525	16.489	16.555	16.411	15.816	16.287	16.692	16.178	16.373	
59.05011986_MZ	Propyl alcohol	Un	1.0	None	None	None	None		C3H8O, Isopropyl alcohol		None	None	None	12.226	12.248	12.219	12.327	12.206	12.089	12.13	12.363	12.204	12.193	12.312	12.213	12.086	12.107	12.13	12.286	12.181	11.976	12.081	12.13	12.25	12.349	12.167	12.304	12.185	12.286	12.149	12.142	12.433	12.357	12.36	12.376	12.246	11.976	12.234	11.877	12.168	12.344	12.33	12.034	12.044	
64.01869394_MZ	Formamide	Un	1.0	None	None	None	None	Formamide is a metabolite used for biological monitoring of workers exposed to N-N-dimethylformamide (DMF).(PMID 7622279). There is a case of significant association between ever having been exposed to DMF and subsequent development of prostate cancer (PMID 2715850).	CH3NO		None	None	None	11.081	10.104	10.383	10.323	10.42	10.718	10.567	10.095	10.092	10.155	10.319	10.434	10.069	9.915	10.035	10.778	10.226	10.485	10.711	9.922	10.359	10.149	10.58	10.77	10.688	10.671	10.54	10.323	10.602	10.396	10.421	10.234	10.485	9.96	10.439	10.858	10.467	10.256	10.22	10.345	10.755	
65.03921071_MZ	Ethanol	Un	1.0	None	None	None	None	Ethanol is a clear, colorless liquid rapidly absorbed from the gastrointestinal tract and distributed throughout the body. It has bactericidal activity and is used often as a topical disinfectant. It is widely used as a solvent and preservative in pharmaceutical preparations as well as serving as the primary ingredient in alcoholic beverages. Indeed, ethanol has widespread use as a solvent of substances intended for human contact or consumption, including scents, flavorings, colorings, and medicines. Ethanol has a depressive effect on the central nervous system and because of its psychoactive effects, it is considered a drug. Ethanol has a complex mode of action and affects multiple systems in the brain, most notably it acts as an agonist to the GABA receptors. Death from ethanol consumption is possible when blood alcohol level reaches 0.4%. A blood level of 0.5% or more is commonly fatal. Levels of even less than 0.1% can cause intoxication, with unconsciousness often occurring at 0.3-0.4 %. Ethanol is metabolized by the body as an energy-providing carbohydrate nutrient, as it metabolizes into acetyl CoA, an intermediate common with glucose metabolism, that can be used for energy in the citric acid cycle or for biosynthesis. Ethanol within the human body is converted into acetaldehyde by alcohol dehydrogenase and then into acetic acid by acetaldehyde dehydrogenase. The product of the first step of this breakdown, acetaldehyde, is more toxic than ethanol. Acetaldehyde is linked to most of the clinical effects of alcohol. It has been shown to increase the risk of developing cirrhosis of the liver,[77] multiple forms of cancer, and alcoholism. Industrially, ethanol is produced both as a petrochemical, through the hydration of ethylene, and biologically, by fermenting sugars with yeast. Small amounts of ethanol are endogenously produced by gut microflora through anaerobic fermentation. However most ethanol detected in biofluids and tissues likely comes from consumption of alcoholic beverages. Absolute ethanol or anhydrous alcohol generally refers to purified ethanol, containing no more than one percent water. Absolute alcohol is not intended for human consumption. It often contains trace amounts of toxic benzene (used to remove water by azeotropic distillation). Consumption of this form of ethanol can be fatal over a short time period. Generally absolute or pure ethanol is used as a solvent for lab and industrial settings where water will disrupt a desired reaction. Pure ethanol is classed as 200 proof in the USA and Canada, equivalent to 175 degrees proof in the UK system.	C2H6O		None	None	None	10.417	10.274	10.2	10.603	10.4	10.486	10.034	10.309	10.186	9.988	10.192	10.226	9.659	10.472	10.855	10.703	9.831	10.5	10.098	10.319	9.584	10.226	10.169	9.889	9.991	10.537	10.229	10.505	10.417	10.208	10.206	10.265	9.83	9.648	10.234	10.561	9.901	9.85	10.257	10.015	9.793	
